ResponseId,COMPANION,PAIN1,PAIN2,pet_frequency,human_frequency,Age,Female,PAIN_DROP,include
R_2uEgSizkXjfvNK8,1,4,6,,4,26,0,2,1
R_1jHh2nYUaTNOnok,1,5,1,,5,49,1,-4,1
R_2wgbsqLuj0YEaZO,1,6,4,,5,31,1,-2,1
R_1mKjepzMLMQtKfw,1,3,3,,4,22,0,0,1
R_Zga02uAtgBhVUuB,1,6,4,,5,44,1,-2,1
R_2xVnwg0iB3uacUo,1,6,6,,4,26,0,0,1
R_3QDeDBvhdnLyEJq,1,3,3,,2,46,0,0,1
R_3IYnmeCnTZZPJCA,1,4,3,,4,30,1,-1,1
R_27f1kTuZFzPCc0H,1,5,4,,4,66,1,-1,1
R_21zItSzXjnLb3Fs,1,6,6,,4,53,1,0,1
R_3fE0mgfNAF8F77j,2,5,4,4,,37,1,-1,1
R_3HNBaag56m8tixG,2,1,1,4,,43,0,0,1
R_2dG73ik2B8bBMqg,2,5,5,5,,47,0,0,1
R_3HHWRBnWBRbf7bt,2,2,1,5,,37,1,-1,1
R_3ixkN9ZexUg4PlA,2,5,1,4,,18,0,-4,1
R_bkeXjMeo6utYZMJ,2,6,6,4,,37,1,0,1
R_eKhFPdaxZy2r16N,2,6,6,5,,37,1,0,1
R_3FOQM4rvZBf16Dp,2,6,6,5,,58,0,0,1
R_0UL7wokEETBVVkd,2,4,4,2,,19,1,0,1
R_1FKbBmiQQfmebdf,2,4,4,5,,60,0,0,1
R_3meHvpxSU8OsS5z,2,4,4,5,,24,0,0,1
R_3qwDP9P8OJA22s4,2,5,3,5,,29,0,-2,1
R_VISTv9Nqv7ZkKjf,2,2,4,2,,70,0,2,1
R_3qW4a9fJNsakV3v,2,6,1,4,,37,0,-5,1
R_2fXI9ReEgMVrD0t,2,5,2,4,,35,0,-3,1
R_2fvepRoWcWy3Xpq,2,4,4,5,,29,0,0,1
R_33dtcTkeAFfVFHx,2,6,6,5,,29,0,0,1
R_3KDPoAmuxuWYSzN,2,6,6,1,,27,1,0,1
R_31AiujefblIMEyo,2,4,2,4,,24,0,-2,1
R_1LI0CF50SBS9X5K,2,5,5,4,,66,1,0,1
R_29dgGrPLoFfiQsF,2,4,3,5,,30,1,-1,1
R_6YlFOrC9wL8WqIh,2,6,6,4,,28,1,0,1
R_3qe5jrAfZLgQRzc,2,6,4,5,,34,1,-2,1
R_1ocBPN6lZUrp3H8,2,2,2,2,,47,1,0,1
R_3e5q8ABybL1Og4r,2,4,4,1,,25,0,0,1
R_2TsIWUQgzIcF5Ul,2,5,5,5,,47,1,0,1
R_W8uAzlMPV2FQ3sJ,2,5,5,4,,55,1,0,1
R_2bQwmiGCgskCk6B,2,4,4,5,,28,1,0,1
R_31tQh7OPIVo5Mdl,2,5,4,4,,30,0,-1,1
R_bQri0auieGEbTd7,2,4,5,5,,38,0,1,1
R_3Pu8g1ERKkghtik,2,6,6,5,,28,0,0,1
R_3KGS6ZYT7Nwakfa,2,6,6,5,,34,0,0,1
R_1mPgr9d75chEXJr,2,4,4,5,,33,1,0,1
R_cSx83LrJcljKZIR,2,6,6,5,,46,0,0,1
R_1DHLl47P6RiaDJ9,2,5,1,1,,68,1,-4,1
R_2teWXEURcLWapRS,2,3,3,4,,30,0,0,1
R_V3iW8XpIYxy0jO9,2,6,5,4,,35,0,-1,1
R_8G3VZWV5qoPVHKV,2,5,2,5,,73,0,-3,1
R_3LZPQI6IOl2FE2g,2,6,5,4,,29,0,-1,0
R_UGSOZcts1iWysCZ,2,5,5,5,,64,0,0,1
R_3rImRGXTBQZltmo,2,6,6,5,,34,0,0,1
R_2q8XUhQpiBpqEXc,2,6,3,5,,29,1,-3,1
R_yHAoaAlD3LT47Yt,2,6,5,5,,25,0,-1,1
R_3kj2IVahzmMTFWP,2,6,6,3,,31,0,0,1
R_3CPIUyNyMy3wsYC,2,6,4,5,,39,0,-2,1
R_xrwiWdvssD0JSEN,2,4,2,3,,24,0,-2,1
R_2eRNSHFQkBItLrk,2,2,3,5,,30,0,1,1
R_r8CYkd2lebpfPwJ,2,1,2,4,,33,1,1,1
R_3Mzzpd51JLtorfN,2,4,5,1,,48,1,1,1
R_3fq7W9rRT6C8VQj,2,5,2,4,,27,1,-3,1
R_2CxfsdGgRskwb1M,2,4,2,1,,35,1,-2,1
R_2QKRvE4m9nCBPKz,2,1,1,5,,33,1,0,1
R_Cac8LY99lXmrBwR,2,4,3,4,,58,1,-1,1
R_0StBbar2l3puKtP,2,6,5,5,,55,1,-1,1
R_3lLkHVkNaTA307R,2,5,4,2,,29,1,-1,1
R_1IzuZZapEWRdP9t,2,2,3,3,,38,1,1,1
R_cMdamwgncmpNlOV,2,4,5,3,,26,1,1,1
R_1FqY1pV7bFuaJRL,2,2,2,5,,24,0,0,1
R_24NKYbHdtzgTn1T,2,5,5,4,,27,0,0,1
R_XFdFB5TV22upb5T,2,4,3,1,,69,0,-1,1
R_3JlupFRHogKkIiV,2,6,5,1,,32,1,-1,1
R_XuYB3D5m46sQwaB,2,1,1,5,,23,0,0,1
R_2aLyAvmiIrKoTvO,2,4,3,4,,24,0,-1,1
R_ug1ULc3pq8ydy0N,2,4,4,3,,38,0,0,1
R_3Jl1B885TqWzofN,2,4,3,5,,51,0,-1,1
R_2BmHyoImse2NN4e,2,6,4,5,,50,0,-2,1
R_3iIIivjfgQjXKMZ,2,4,4,5,,43,0,0,1
R_sBgvpuuKZhn9csN,2,3,3,5,,33,1,0,1
R_27s96wclBtCQWDC,2,6,6,5,,45,1,0,1
R_2dYcCQbBFN5BOj5,2,6,1,5,,33,1,-5,1
R_1QhJlRJgsnKjE3X,2,6,6,5,,29,0,0,1
R_3kOos1NQji5LyVK,2,6,2,5,,45,1,-4,1
R_r2NEntAFphGm4V3,2,4,3,4,,33,0,-1,1
R_1kOgiyJuo1wTIsz,2,6,6,5,,39,1,0,1
R_2t6sdIscA5Aavvz,2,3,1,5,,67,1,-2,1
R_qCKVV7QTZZ1ZSSZ,2,5,4,5,,47,0,-1,1
R_3oWNamBKs6SFIo4,2,4,4,3,,32,1,0,1
R_1eQr1SG2y2ztjFy,2,3,3,4,,43,0,0,1
R_3oZVZH0EbLRIgjy,2,6,2,4,,25,0,-4,1
R_22FBgKERdwlHXbz,2,4,3,3,,28,1,-1,1
R_1kNYu5KgZXNGVY2,2,3,4,5,,25,0,1,1
R_wYuVM5ovWFDSjLz,2,5,2,2,,50,0,-3,1
R_UEkpqO3fcN0aw3D,2,6,6,1,,39,0,0,1
R_2aVv72AAo1d04re,2,3,1,2,,31,0,-2,1
R_3dMahI5JPt7vnys,2,4,4,4,,47,0,0,1
R_3ndUkH7HO6ArYi1,2,4,4,4,,35,0,0,1
R_2PBhLqu0m1SpyQ6,2,1,1,4,,34,0,0,1
R_uyQLfiDqCU7wmBP,2,6,6,1,,39,1,0,1
R_1GEvJG6RH7FnJWT,2,5,2,5,,26,0,-3,1
R_1HcSvtZg1y46nzM,2,4,5,1,,32,1,1,1
R_124NrDZo6FrJLkc,2,2,2,4,,37,0,0,1
R_24j8zr0ySjXp4xW,2,6,6,5,,55,1,0,1
R_1mV4rbiRNAm8o0k,2,3,2,5,,51,0,-1,1
R_3LYZeOsDspRJw6s,2,4,4,3,,47,1,0,1
R_3JkZKs1pza8LKsz,2,2,3,4,,21,0,1,1
R_3rMcOD44MpvBEvq,2,3,3,4,,34,0,0,1
R_3E9DySVqWAWrkpW,2,4,3,5,,32,0,-1,1
R_3m1PqkjmWKyvxW9,2,5,4,4,,38,1,-1,1
R_1pWqxVL2oSGmhlg,2,5,3,4,,37,1,-2,1
R_28NBlXwLqnXmTjl,2,6,6,5,,33,0,0,1
R_1eFaM9JDtyGKnEE,2,6,6,4,,26,0,0,1
R_3lLiZj3ss2rTmFV,2,4,4,4,,27,0,0,1
R_33vwhVUlTmcDpPL,2,5,5,4,,33,1,0,1
R_1GR5thWXttItN2V,2,6,5,5,,33,1,-1,1
R_2dX6YdOwzCSse2k,2,4,1,5,,43,0,-3,1
R_2riuLoW0RpTkLPw,2,4,1,5,,42,0,-3,1
R_ezCPzN4WDqcLWQF,2,6,6,5,,46,1,0,1
R_eeAlLVlwVMPAYSt,2,6,4,5,,58,1,-2,1
R_2Yx4iZ0nnhVMiXy,2,5,5,5,,33,1,0,1
R_21GOfG1aMiscjDf,2,6,5,3,,26,1,-1,1
R_1DIo1GPHaZFrATI,2,6,5,4,,43,1,-1,1
R_1q2Ia3ia0cpFZha,2,6,5,5,,46,1,-1,1
R_AprpC4lZDqLrWyR,2,4,4,4,,33,0,0,1
R_2ysdVbnDSoAPdVG,2,5,6,1,,37,1,1,1
R_3F2GX9y3VnjLZMA,2,6,5,5,,40,1,-1,1
R_vJo975Bu8yAJvyx,2,6,5,4,,27,1,-1,1
R_2ah5bwbRvhfnxUS,2,5,5,5,,27,0,0,1
R_2Rb1BdeNMoi187E,2,6,6,5,,46,1,0,1
R_3eqyQeWt4F6ZwS5,2,5,5,4,,22,1,0,1
R_1GDPomnMbme573R,2,4,4,4,,65,1,0,1
R_2zwFWQhw8EZTukp,2,6,5,5,,25,1,-1,1
R_1q2hEQq0HaJu6pk,2,6,1,5,,55,1,-5,1
R_1NwVn6al8HxJNxg,2,2,1,2,,32,0,-1,1
R_2A1hiEit2wrR5Nk,2,3,3,5,,21,1,0,1
R_2wGryRi70DsUuHw,2,5,5,4,,60,1,0,1
R_3mf6hDR41qGuGDz,2,5,5,5,,53,0,0,1
R_3MyrLS3f1HqZgyn,2,6,5,5,,26,0,-1,0
R_3Hp08KZs81UKNoL,2,6,5,5,,54,0,-1,1
R_3iCQzaP5bLiPUGh,2,3,3,4,,27,0,0,1
R_1pQoV15h5GT0yhc,2,6,6,5,,37,1,0,1
R_3NDKuus147w3yFo,2,6,3,4,,23,1,-3,1
R_a3JZeN5Cd8Q3jMt,2,5,1,4,,57,1,-4,1
R_3lYR4BHnCdOJ74j,2,6,6,5,,29,1,0,1
R_4GFEAG0ymH6CJLb,2,5,5,1,,56,0,0,1
R_2WNq5J1marQJlaR,2,6,5,4,,37,0,-1,1
R_2qE6QaBGxvDZ3KD,2,5,6,1,,37,1,1,1
R_1HidtVkiY5ZgSw0,2,6,3,4,,42,1,-3,1
R_1IbXtErpd13ypZr,2,6,3,5,,36,1,-3,1
R_2Tn5kp7vib2ydW5,2,6,6,4,,35,2,0,1
R_27puFOXiCvhZ3Fy,2,3,2,3,,23,0,-1,1
R_2Po1eSMX3KXCJav,2,5,4,5,,20,1,-1,1
R_3dzxv28etYxDYg9,2,5,6,1,,45,1,1,1
R_2fwItj4HvKdmofx,2,5,4,2,,47,1,-1,1
R_25to0uZrEQLj7Tu,2,5,1,5,,46,1,-4,1
R_3qJugWMpZezoTir,2,5,5,5,,30,1,0,1
R_3luhojrTjkymdCz,2,6,6,3,,56,1,0,1
R_2pKRO8KPJaSThis,2,5,5,2,,26,1,0,1
R_23fpBYXxyOwVhle,2,5,3,2,,31,0,-2,1
R_8jLiviBqrZM0w3n,2,6,6,5,,45,1,0,1
R_25ZUz3J6Xr1JZts,2,2,2,4,,55,1,0,1
R_2dyZcV2WcQGoOom,2,5,5,4,,25,1,0,1
R_2CpLLCR6cbCsJAv,2,3,2,5,,36,0,-1,1
R_2RaFapkwm0U4U5M,2,6,6,5,,69,0,0,1
R_24CnsfUzq4y2jF2,2,6,6,2,,46,1,0,1
R_2ymylSUiG1PUKiG,2,6,3,5,,52,1,-3,1
R_3D5qYP3U4eFjRTz,2,4,3,3,,43,0,-1,1
R_1DoEznr9z4TBy1T,2,5,3,5,,24,0,-2,1
R_2wubr3sUWKcSx4k,2,4,4,4,,34,1,0,1
R_1OlSfgBp0wug4W1,2,5,3,4,,41,1,-2,1
R_YbuJ398jIjGElUd,2,4,2,5,,32,0,-2,1
R_3n7ROc5FQKi4WnL,2,1,6,4,,40,1,5,1
R_2yg5Fk6gTBOKGLH,2,3,3,1,,36,0,0,1
R_w6hSAope01u0z8R,2,5,1,1,,33,0,-4,1
R_1dzPSuqrxmMq7xe,2,5,4,5,,47,0,-1,1
R_1EYbzNhzXik9Jgv,2,3,3,4,,34,0,0,1
R_D1P0h39rCoV9rMt,2,5,3,4,,37,1,-2,1
R_1oiJUknlsKHkZgn,2,4,4,1,,58,0,0,1
R_1QuVOcpX8fRn4B1,2,5,3,5,,43,1,-2,1
R_22EPSZGZ8FKG8em,2,6,4,5,,30,1,-2,1
R_3pihWWeZA28zdGD,2,6,5,4,,43,1,-1,1
R_1jlcw9vy1xT0Rwj,2,5,2,4,,36,0,-3,1
R_2SBnQQ2zF2n11Nz,2,5,5,3,,45,1,0,1
R_11hI8FlaEbOB5Lx,2,6,6,5,,33,1,0,1
R_2z6iLU9N2Hj9aq1,2,5,5,4,,38,1,0,1
R_UoxbDfd4krTPivL,2,2,1,5,,25,0,-1,1
R_3qP5cFlvqS1kNRL,2,4,2,5,,36,0,-2,1
R_2ZUjqb3CYxkjrhJ,2,6,5,5,,28,1,-1,1
R_125SKQTPVUwyGjA,2,6,6,5,,47,1,0,1
R_egLcY8qr4Zo6agV,2,4,4,5,,33,1,0,1
R_UXPh3xK04DbNCHD,2,6,6,4,,35,1,0,1
R_1j6xExmF4FJqjBG,2,1,1,5,,31,0,0,1
R_2ztIIdJc0n55IDf,2,4,3,3,,32,1,-1,1
R_bkgb8eFZeCDdlV7,2,6,5,5,,60,0,-1,1
R_1d4YR8Yz0T1Bpk8,2,4,3,4,,29,0,-1,1
R_2ZDjQgzqrmJv00c,2,6,6,5,,48,0,0,1
R_1lfTFuE3ElVhYiR,2,4,6,4,,48,0,2,0
